id,area,title,epistemic_type,principia_kind,maturity,stability,evidence_count,outgoing_relation_count,incoming_relation_count,tags
meta:statistics-causality:interference,statistics-causality,Units Can Causally Affect One Another,causal observation,mechanistic,supported,high,2,1,1,interference|spillovers|networks|causal-effects
meta:statistics-causality:simpson-paradox,statistics-causality,Aggregation Can Reverse Conditional Associations,statistical paradox,empirical,established,high,2,1,0,simpson-paradox|aggregation|conditioning|confounding
meta:statistics-causality:regression-to-mean,statistics-causality,Extreme Observations Tend to Be Followed by Less Extreme Ones Without Intervention,statistical phenomenon,empirical,established,high,2,0,0,regression-to-mean|selection|longitudinal|controls
meta:statistics-causality:calibration,statistics-causality,Probabilistic Predictions Must Match Long-Run Frequencies in Their Reference Class,calibration principle,empirical,established,high,2,1,2,calibration|probability|forecasting|confidence
meta:statistics-causality:transport-formula,statistics-causality,"Transport Requires Modeling Population Differences, Not Merely Reweighting Labels",transportability theorem family,theorem,supported,high,2,2,0,transportability|data-fusion|population|external-validity
meta:ai-ml:inductive-bias,ai-ml,Generalization Requires Inductive Bias,learning-theoretic proposition,theorem,established,high,2,1,1,inductive-bias|generalization|priors|architecture
meta:ai-ml:no-free-lunch,ai-ml,No Learning or Search Algorithm Dominates Over Unrestricted Problem Classes,no-free-lunch theorem,theorem,established,high,2,1,1,no-free-lunch|optimization|task-distribution|algorithm-selection
meta:ai-ml:capacity-generalization,ai-ml,Generalization Depends on Capacity Relative to Data and Margin,statistical learning theorem family,theorem,established,high,2,1,0,pac|vc-dimension|capacity|sample-complexity
meta:ai-ml:bias-variance,ai-ml,Prediction Error Trades Approximation Bias Against Estimation Variance,bias-variance decomposition,theorem,established,high,2,0,1,bias|variance|model-complexity|generalization
meta:ai-ml:double-descent,ai-ml,Interpolation Can Enter a Second Generalization Regime,empirical-theoretical observation,empirical,supported,high,2,0,1,double-descent|interpolation|overparameterization|risk
meta:ai-ml:implicit-regularization,ai-ml,Optimization Selects Among Many Interpolating Solutions,optimization principle,mechanistic,supported,high,2,1,0,implicit-bias|optimization|margin|regularization
meta:ai-ml:scaling-laws,ai-ml,Performance Often Follows Predictable Power Laws Within a Regime,empirical scaling observation,empirical,supported,high,2,1,0,scaling-laws|compute|data|power-law
meta:ai-ml:distribution-shift,ai-ml,Empirical Risk Minimization Guarantees Only the Training Distribution,generalization boundary,theorem,established,high,2,0,1,distribution-shift|ood|deployment|domain-adaptation
meta:ai-ml:spurious-correlation,ai-ml,Predictive Features Can Exploit Environment-Specific Shortcuts,empirical principle,empirical,established,high,2,0,1,spurious-correlation|shortcut-learning|invariance|environments
meta:ai-ml:information-bottleneck,ai-ml,Useful Representations Preserve Task Information While Discarding Nuisance Detail,information-bottleneck principle,theorem,supported,high,2,2,3,information-bottleneck|representation|compression|invariance
meta:ai-ml:unsupervised-identifiability,ai-ml,Unsupervised Latent Factors Are Not Identifiable Without Bias or Supervision,impossibility theorem,theorem,established,high,2,0,2,identifiability|disentanglement|latent-variables|unsupervised-learning
meta:ai-ml:calibration,ai-ml,Confidence Scores Must Be Empirically Calibrated,probabilistic prediction principle,empirical,established,high,2,1,0,calibration|confidence|selective-prediction|uncertainty
meta:ai-ml:robustness-accuracy-tradeoff,ai-ml,Adversarial Robustness Can Conflict with Standard Accuracy,empirical-theoretical tradeoff,empirical,supported,high,2,0,2,adversarial-robustness|accuracy|tradeoff|threat-model
meta:ai-ml:exploration-exploitation,ai-ml,Learning Agents Must Trade Immediate Reward Against Information Gain,sequential decision principle,mechanistic,established,high,2,0,0,exploration|exploitation|bandits|active-learning
meta:ai-ml:credit-assignment,ai-ml,Learning Requires Assigning Outcomes to Responsible Internal Decisions,computational principle,mechanistic,established,high,2,1,1,credit-assignment|backpropagation|gradients|reinforcement-learning
meta:ai-ml:data-quality-ceiling,ai-ml,Model Performance Is Bounded by the Information and Biases in Its Data,empirical principle,empirical,established,high,2,1,0,data-quality|sampling-bias|labels|coverage
meta:ai-ml:compute-data-model-codesign,ai-ml,"Model, Data, and Compute Must Be Co-Designed Under a Budget",engineering observation,heuristic,supported,high,2,1,1,compute|data|model-size|codesign
meta:computer-science:computability-boundary,computer-science,Some Well-Posed Computational Questions Are Undecidable,computability theorem family,theorem,established,high,2,0,3,computability|undecidability|algorithms|limits
meta:computer-science:reduction-completeness,computer-science,Reductions Transfer Difficulty and Guarantees Between Problems,complexity principle,theorem,established,high,2,1,0,reductions|np-completeness|complexity|hardness
meta:computer-science:amdahl-law,computer-science,Serial Fractions Limit Parallel Speedup,performance law,theorem,established,high,2,0,2,amdahl|parallelism|speedup|bottleneck
meta:computer-science:information-hiding,computer-science,Modules Should Hide Decisions Likely to Change,software-design principle,heuristic,established,high,1,1,1,modularity|information-hiding|interfaces|maintainability
meta:computer-science:end-to-end,computer-science,Functions Requiring Application Semantics Belong at the Endpoints,systems principle,heuristic,established,high,1,1,0,end-to-end|systems|layers|correctness
meta:computer-science:locality,computer-science,Programs Run Fast When Active Working Sets Fit Near the Processor,empirical systems principle,empirical,established,high,2,0,0,locality|memory-hierarchy|working-set|performance
meta:computer-science:cap,computer-science,Partitions Force a Choice Between Linearizable Consistency and Availability,distributed-systems theorem,theorem,established,high,1,0,0,cap|partitions|availability|linearizability
meta:computer-science:flp,computer-science,Deterministic Consensus Cannot Guarantee Termination in Pure Asynchrony with One Crash,impossibility theorem,theorem,established,high,1,0,0,flp|consensus|asynchrony|impossibility
meta:computer-science:byzantine-threshold,computer-science,Byzantine Agreement Requires Redundancy Relative to Faults,fault-tolerance theorem,theorem,established,high,1,1,0,byzantine|fault-tolerance|quorum|redundancy
meta:computer-science:serializability,computer-science,Concurrent Transactions Are Correct When Equivalent to a Serial Execution,database theorem,theorem,established,high,2,0,0,serializability|transactions|concurrency|isolation
meta:computer-science:acid-recovery,computer-science,Atomicity and Durability Require Explicit Failure-Recovery Protocols,systems design principle,mechanistic,established,high,2,0,0,acid|recovery|durability|logging
meta:computer-science:eventual-consistency,computer-science,Convergence Requires Compatible Updates and Delivery Assumptions,distributed consistency principle,mechanistic,supported,high,2,1,0,eventual-consistency|replication|crdt|convergence
meta:computer-science:calm,computer-science,Monotonic Programs Admit Coordination-Free Distributed Evaluation,CALM theorem,theorem,supported,high,2,0,1,calm|monotonicity|coordination|distributed-computation
meta:computer-science:computational-security,computer-science,Security Is a Reduction Against a Stated Adversary and Resource Bound,cryptographic principle,theorem,established,high,2,1,1,cryptography|security-definition|adversary|reduction
meta:physics:stationary-action,physics,Physical Trajectories Often Extremize an Action Functional,variational principle,theorem,established,high,2,0,1,action|variation|lagrangian|dynamics
meta:physics:noether,physics,Continuous Symmetries Generate Conservation Laws,Noether theorem,theorem,established,high,2,1,1,noether|symmetry|conservation|currents
meta:physics:special-relativity,physics,The Laws of Physics Are Lorentz Invariant and Light Speed Is Observer-Independent,physical principle,mechanistic,established,high,2,0,0,relativity|lorentz-invariance|spacetime|light-speed
meta:physics:equivalence-principle,physics,"Locally, Gravitation Is Indistinguishable from Acceleration",equivalence principle,mechanistic,established,high,2,0,0,equivalence|gravity|curvature|free-fall
meta:physics:quantum-superposition,physics,Quantum States Combine Linearly Until Measurement or Decoherence Selects Outcomes,quantum postulate,mechanistic,established,high,2,0,0,quantum|superposition|interference|decoherence
meta:physics:uncertainty-principle,physics,Conjugate Observables Have State-Dependent Precision Limits,uncertainty relation,theorem,established,high,2,0,0,uncertainty|noncommutativity|quantum-measurement|variance
meta:physics:complementarity,physics,Experimental Arrangements Select Mutually Exclusive Classical Descriptions,complementarity principle,heuristic,supported,context-dependent,2,0,0,complementarity|measurement|wave-particle|quantum-foundations
meta:physics:second-law,physics,Entropy of an Isolated Macroscopic System Does Not Decrease,thermodynamic law,empirical,established,high,2,1,0,entropy|second-law|irreversibility|thermodynamics
meta:physics:free-energy-minimization,physics,Equilibrium Minimizes the Appropriate Thermodynamic Potential,thermodynamic theorem,theorem,established,high,2,1,2,free-energy|equilibrium|gibbs|thermodynamic-potential
meta:physics:fluctuation-dissipation,physics,Equilibrium Fluctuations Encode Linear Response,fluctuation-dissipation theorem,theorem,established,high,2,1,0,fluctuation|dissipation|linear-response|correlation
meta:physics:renormalization-universality,physics,Long-Scale Behavior Can Forget Microscopic Details,renormalization-group principle,theorem,established,high,2,0,1,renormalization|universality|criticality|coarse-graining
meta:physics:spontaneous-symmetry-breaking,physics,Symmetric Laws Can Have Asymmetric Stable States,physical mechanism,mechanistic,established,high,2,1,0,symmetry-breaking|order-parameter|phase-transition|ground-state
meta:physics:effective-field-theory,physics,Low-Energy Physics Can Be Organized Without Complete Microscopic Knowledge,effective field theory principle,mechanistic,established,high,2,0,1,effective-field-theory|cutoff|power-counting|scale
meta:physics:locality-causality,physics,Relativistic Causality Constrains Influence to Light Cones,causal structure principle,theorem,established,high,2,0,0,locality|causality|light-cone|microcausality
meta:chemistry-materials:thermodynamics-kinetics,chemistry-materials,Thermodynamic Favorability Does Not Determine Reaction Rate,foundational distinction,mechanistic,established,high,2,1,0,thermodynamics|kinetics|barriers|reaction-rate
meta:chemistry-materials:gibbs-free-energy,chemistry-materials,"Constant-Temperature, Constant-Pressure Equilibria Minimize Gibbs Free Energy",thermodynamic theorem,theorem,established,high,2,0,2,gibbs-energy|equilibrium|chemical-potential|stability
meta:chemistry-materials:mass-action,chemistry-materials,Reaction Rates and Equilibria Scale with Activities According to Stoichiometry,law of mass action,mechanistic,established,high,2,0,0,mass-action|stoichiometry|rate-law|equilibrium
meta:chemistry-materials:le-chatelier,chemistry-materials,Equilibrium Systems Respond to Perturbations by Partially Opposing Them,Le Chatelier principle,heuristic,established,context-dependent,2,0,0,le-chatelier|equilibrium-shift|perturbation|stability
meta:chemistry-materials:arrhenius-rate,chemistry-materials,Activated Rates Often Scale Exponentially with Inverse Temperature,Arrhenius law,empirical,established,high,2,1,0,arrhenius|activation-energy|temperature|rate
meta:chemistry-materials:transition-state-theory,chemistry-materials,Reaction Rates Are Controlled by Flux Through a Free-Energy Bottleneck,transition-state theory,mechanistic,established,high,2,0,1,transition-state|activation-free-energy|reaction-coordinate|rate
meta:chemistry-materials:hammond-postulate,chemistry-materials,A Transition State Resembles the Nearest State in Free Energy,Hammond-Leffler postulate,heuristic,supported,high,2,0,0,hammond|transition-state|structure-reactivity|heuristic
meta:chemistry-materials:sabatier,chemistry-materials,Optimal Catalysis Balances Binding Strong Enough to React and Weak Enough to Release,Sabatier principle,heuristic,supported,high,2,0,0,sabatier|catalysis|volcano|binding-energy
meta:chemistry-materials:detailed-balance,chemistry-materials,Equilibrium Microscopic Fluxes Balance Pairwise Under Reversibility,detailed balance principle,theorem,established,high,2,0,1,detailed-balance|equilibrium|microscopic-reversibility|flux
meta:chemistry-materials:gibbs-phase-rule,chemistry-materials,Independent Equilibrium Variables Are Limited by Components and Phases,Gibbs phase rule,theorem,established,high,2,0,0,phase-rule|phase-diagram|components|equilibrium
meta:chemistry-materials:nucleation-barrier,chemistry-materials,New Phases Require Overcoming a Surface-Energy Barrier,classical nucleation principle,mechanistic,supported,high,2,1,1,nucleation|surface-energy|critical-radius|metastability
meta:chemistry-materials:hsab,chemistry-materials,Hard–Hard and Soft–Soft Interactions Are Often Favored,HSAB principle,heuristic,supported,high,2,0,0,hsab|acid-base|polarizability|selectivity
meta:chemistry-materials:self-assembly,chemistry-materials,Self-Assembly Minimizes Free Energy Through Reversible Local Interactions,self-assembly principle,mechanistic,supported,high,2,1,0,self-assembly|free-energy|reversibility|hierarchy
meta:chemistry-materials:processing-structure-properties,chemistry-materials,"Processing Determines Structure, Which Mediates Properties and Performance",materials-science framework,mechanistic,established,high,2,1,0,processing|structure|properties|performance
meta:chemistry-materials:defects-and-metastability,chemistry-materials,Defects and Metastable States Often Control Real Material Behavior,materials observation,empirical,established,high,2,0,0,defects|metastability|microstructure|materials-properties
meta:biology-evolution:natural-selection,biology-evolution,Heritable Variation with Differential Reproduction Produces Adaptive Change,evolutionary principle,mechanistic,established,high,2,1,0,natural-selection|heritability|fitness|adaptation
meta:biology-evolution:mutation-selection-drift,biology-evolution,"Evolution Reflects Mutation, Selection, Drift, and Gene Flow Together",population-genetic framework,mechanistic,established,high,2,1,0,mutation|selection|drift|gene-flow
meta:biology-evolution:neutral-theory,biology-evolution,Much Molecular Change Can Be Selectively Neutral or Nearly Neutral,neutral theory,hypothesis,supported,context-dependent,2,0,1,neutral-theory|genetic-drift|molecular-evolution|null-model
meta:biology-evolution:price-equation,biology-evolution,Evolutionary Change Decomposes into Selection and Transmission Terms,Price equation,theorem,established,high,2,0,1,price-equation|selection|transmission|covariance
meta:biology-evolution:hamilton-rule,biology-evolution,Social Traits Can Spread When Relatedness-Weighted Benefits Exceed Costs,Hamilton rule,theorem,established,high,2,0,0,hamilton-rule|inclusive-fitness|cooperation|relatedness
meta:biology-evolution:evolutionarily-stable-strategy,biology-evolution,An ESS Resists Invasion by Rare Alternatives,evolutionary game theorem,theorem,established,high,2,1,0,ess|evolutionary-game-theory|invasion|stability
meta:biology-evolution:life-history-tradeoffs,biology-evolution,"Finite Resources Create Trade-offs Among Growth, Reproduction, and Survival",life-history principle,empirical,established,high,2,0,0,life-history|tradeoff|allocation|fitness
meta:biology-evolution:robustness-plasticity-evolvability,biology-evolution,"Biological Systems Balance Robustness, Plasticity, and Evolvability",evolutionary systems principle,mechanistic,supported,high,2,0,0,robustness|plasticity|evolvability|canalization
meta:biology-evolution:central-dogma,biology-evolution,"Sequence Information Normally Flows from Nucleic Acid to Protein, Not Back from Protein",central dogma,mechanistic,established,high,2,0,0,central-dogma|information-flow|dna|protein
meta:biology-evolution:homeostasis,biology-evolution,Feedback Maintains Internal Variables Within Viable Ranges,physiological principle,mechanistic,established,high,2,1,1,homeostasis|feedback|regulation|physiology
meta:biology-evolution:niche-construction,biology-evolution,Organisms Modify the Selective Environments That Shape Them,niche-construction principle,mechanistic,supported,context-dependent,2,0,0,niche-construction|feedback|ecological-inheritance|ecosystem-engineering
meta:biology-evolution:competitive-exclusion,biology-evolution,Stable Coexistence Requires Niche Differentiation or Countervailing Processes,competitive-exclusion principle,heuristic,supported,high,2,1,0,competitive-exclusion|coexistence|niche|resources
meta:biology-evolution:major-transitions,biology-evolution,New Evolutionary Individuals Arise When Cooperation Suppresses Lower-Level Conflict,major-transitions principle,mechanistic,supported,high,2,1,0,major-transitions|cooperation|individuality|multilevel-selection
meta:biology-evolution:allometric-scaling,biology-evolution,Biological Rates and Forms Scale Systematically with Size,allometric observation,empirical,supported,context-dependent,2,0,1,allometry|scaling|body-size|metabolism
meta:biology-evolution:red-queen,biology-evolution,Relative Fitness Can Require Continuous Adaptation in Coevolving Systems,Red Queen hypothesis,hypothesis,supported,context-dependent,2,0,0,red-queen|coevolution|arms-race|frequency-dependence
meta:biology-evolution:ecological-resilience,biology-evolution,Ecosystems Can Absorb Disturbance Yet Shift Abruptly Between Regimes,resilience principle,empirical,supported,high,2,1,0,resilience|regime-shift|hysteresis|ecosystems
meta:neuroscience-cognition:hebbian-plasticity,neuroscience-cognition,Correlated Activity Can Strengthen Functional Connections,Hebbian principle,mechanistic,established,high,2,1,0,hebbian|synaptic-plasticity|association|learning
meta:neuroscience-cognition:homeostatic-plasticity,neuroscience-cognition,Neural Circuits Stabilize Activity While Retaining Capacity to Learn,homeostatic plasticity principle,mechanistic,established,high,2,1,0,homeostasis|synaptic-scaling|stability|plasticity
meta:neuroscience-cognition:efficient-coding,neuroscience-cognition,Sensory Systems Adapt Codes to Input Statistics and Resource Constraints,efficient coding hypothesis,hypothesis,supported,context-dependent,2,1,2,efficient-coding|information|sensory|resource-constraint
meta:neuroscience-cognition:sparse-coding,neuroscience-cognition,Sparse Population Activity Can Support Efficient and Separable Representations,coding principle,empirical,supported,high,2,1,0,sparse-coding|representation|energy|receptive-fields
meta:neuroscience-cognition:predictive-coding,neuroscience-cognition,Hierarchical Circuits May Encode Prediction Errors Rather Than Raw Inputs,predictive coding hypothesis,hypothesis,supported,contested,2,1,0,predictive-coding|hierarchy|prediction-error|inference
meta:neuroscience-cognition:population-coding,neuroscience-cognition,Variables Are Often Represented by Distributed Population Activity,coding observation,empirical,established,high,2,0,0,population-coding|distributed-representation|decoding|neural-manifold
meta:neuroscience-cognition:excitation-inhibition-balance,neuroscience-cognition,Strong Excitation Can Be Stabilized by Matching Inhibition,network-dynamics principle,mechanistic,supported,context-dependent,2,0,0,excitation|inhibition|balance|asynchronous-state
meta:neuroscience-cognition:critical-periods,neuroscience-cognition,Plasticity Is Gated by Developmental Windows and Circuit Maturation,developmental principle,empirical,established,high,2,0,0,critical-period|development|plasticity|maturation
meta:neuroscience-cognition:attractor-dynamics,neuroscience-cognition,Recurrent Networks Can Store Stable or Metastable Activity Patterns,attractor principle,mechanistic,supported,high,2,1,1,attractor|recurrent-network|memory|dynamics
meta:neuroscience-cognition:reward-prediction-error,neuroscience-cognition,Dopaminergic Signals Track Reward Prediction Errors,reinforcement-learning mechanism,mechanistic,established,high,2,0,1,dopamine|prediction-error|reward|reinforcement-learning
meta:neuroscience-cognition:working-memory-capacity,neuroscience-cognition,Active Working Memory Has Severe Capacity and Interference Limits,cognitive observation,empirical,established,context-dependent,2,1,0,working-memory|capacity|chunking|interference
meta:neuroscience-cognition:degeneracy,neuroscience-cognition,Different Biological Structures Can Support the Same Function,degeneracy principle,empirical,supported,high,1,1,0,degeneracy|robustness|redundancy|compensation
meta:neuroscience-cognition:integration-segregation,neuroscience-cognition,Adaptive Cognition Requires Both Specialized Modules and Their Coordination,network principle,mechanistic,supported,context-dependent,2,1,0,integration|segregation|brain-network|modularity
meta:neuroscience-cognition:active-inference,neuroscience-cognition,Agents May Act to Reduce Expected Prediction Error and Uncertainty,active-inference hypothesis,hypothesis,contested,contested,2,1,0,active-inference|free-energy|control|generative-model
meta:neuroscience-cognition:stability-plasticity,neuroscience-cognition,Learning New Patterns Without Destroying Old Ones Requires Complementary Mechanisms,stability-plasticity principle,heuristic,supported,high,2,1,0,stability-plasticity|continual-learning|consolidation|interference
meta:information-control-complexity:source-coding,information-control-complexity,Lossless Compression Is Bounded by Source Entropy,source coding theorem,theorem,established,high,2,1,1,source-coding|entropy|compression|information
meta:information-control-complexity:channel-capacity,information-control-complexity,Reliable Communication Is Possible Below Capacity and Impossible Above It,channel coding theorem,theorem,established,high,2,0,0,channel-capacity|coding|noise|reliability
meta:information-control-complexity:data-processing,information-control-complexity,Processing Cannot Increase Information About an Upstream Variable,data processing inequality,theorem,established,high,2,1,0,data-processing|mutual-information|markov-chain|representation
meta:information-control-complexity:rate-distortion,information-control-complexity,Lossy Compression Has a Fundamental Rate–Fidelity Frontier,rate-distortion theorem,theorem,established,high,2,1,2,rate-distortion|lossy-compression|fidelity|tradeoff
meta:information-control-complexity:requisite-variety,information-control-complexity,Effective Regulation Requires Variety Comparable to Disturbances,law of requisite variety,heuristic,supported,high,2,1,1,requisite-variety|cybernetics|regulation|disturbance
meta:information-control-complexity:controllability,information-control-complexity,A System Is Controllable Only If Inputs Span Its Dynamical Modes,controllability theorem,theorem,established,high,2,0,0,controllability|reachability|state-space|intervention
meta:information-control-complexity:observability,information-control-complexity,Internal States Are Recoverable Only If They Affect Measured Outputs,observability theorem,theorem,established,high,2,1,0,observability|state-estimation|sensors|identifiability
